iter	Passed	Remaining
0	0	48
1	0	43
2	1	42
3	1	41
4	2	40
5	2	39
6	2	39
7	3	38
8	3	38
9	4	38
10	4	37
11	5	37
12	5	36
13	5	36
14	6	36
15	6	35
16	7	34
17	7	34
18	8	34
19	8	33
20	8	33
21	9	32
22	9	33
23	10	33
24	11	34
25	12	34
26	13	35
27	13	35
28	14	35
29	15	35
30	16	35
31	16	35
32	17	35
33	18	35
34	19	35
35	19	34
36	20	34
37	20	33
38	20	32
39	21	32
40	21	31
41	22	30
42	22	30
43	23	29
44	23	28
45	24	28
46	24	27
47	24	27
48	25	26
49	25	25
50	26	25
51	26	24
52	27	24
53	27	23
54	28	23
55	28	22
56	29	22
57	29	21
58	30	20
59	30	20
60	30	19
61	31	19
62	31	18
63	32	18
64	32	17
65	33	17
66	33	16
67	34	16
68	34	15
69	34	14
70	35	14
71	35	13
72	36	13
73	36	12
74	37	12
75	37	11
76	37	11
77	38	10
78	38	10
79	39	9
80	40	9
81	41	9
82	41	8
83	42	8
84	43	7
85	44	7
86	44	6
87	45	6
88	46	5
89	46	5
90	47	4
91	48	4
92	49	3
93	49	3
94	49	2
95	50	2
96	50	1
97	51	1
98	51	0
99	52	0
